CellType,CpdName,IC50,Concentration1,Concentration2,Concentration3,Concentration4,Concentration5,Concentration6,Concentration7,Concentration8,Concentration9
Stomach,WSF-01-016-01,1.009926,0.336,0.6844,0.7978,0.9873,0.878,0.9286,0.9661,0.9931,0.9773
Stomach,WSF-01-016-01,1.897405,0.6978,0.7909,0.9384,0.9846,0.9455,0.9574,0.9637,0.9618,0.9747
Stomach,WSF-01-016-01,2.223887,0.7417,0.8067,0.9213,0.9632,0.9747,0.9914,0.9974,0.9839,0.9579
Stomach,WSF-01-016-01,4.028744,0.9363,0.8488,0.8923,0.9588,0.9861,0.9774,0.9854,0.9798,0.9923
Stomach,WSF-01-016-01,3.831821,0.9024,0.9641,1.0353,1.0285,1.0122,1.0167,1.0026,1.0114,0.9718
Stomach,WSF-01-016-01,5.866719,1.0128,1.0017,0.967,0.9861,0.9574,0.9938,1.0288,0.9806,0.9894
Stomach,WSF-01-016-01,1.235323,0.5903,0.8423,0.9365,0.9788,1.0341,0.9965,0.9913,0.9923,1.0936
Stomach,WSF-01-016-01,1.308323,0.5788,0.7354,0.7741,0.8474,1.028,0.8851,1.0005,0.9278,0.9172
Stomach,WSF-01-016-01,1.680541,0.7024,0.8612,0.9589,0.9848,0.9834,1.0154,1.0276,1.0083,1.0155
Stomach,WSF-01-016-01,-0.737884,0.1362,0.148,0.4002,0.8324,0.8711,0.9246,0.907,0.8176,1.0678
Stomach,WSF-01-016-01,2.50911,0.8105,0.8497,0.9947,0.9793,1.0468,1.0291,1.0492,1.0302,0.9665
Stomach,WSF-01-016-01,1.34755,0.6313,0.6713,0.7217,0.9356,0.9666,1.0081,0.984,0.9749,0.9928
Stomach,WSF-01-016-01,3.743775,0.6566,1.0985,1.0876,1.2021,1.0493,1.1195,1.0852,1.1609,1.0633
Stomach,WSF-01-016-01,1.772934,0.6622,0.8147,0.9282,0.918,0.9825,0.9589,0.9788,0.9752,0.9516
Stomach,WSF-01-016-01,1.280804,0.6067,0.7291,0.8565,0.908,0.977,1.0111,0.9651,0.9677,1.0235
Stomach,WSF-01-016-01,2.276585,0.7762,0.8828,0.9585,1.0048,1.0198,1.0233,1.0165,1.0341,1.0169
Testes,WSF-01-016-01,0.757595,0.4777,0.6079,0.9007,1.0063,1.027,1.0061,1.03,1.0517,1.0579
Testes,WSF-01-016-01,0.897384,0.418,0.7114,0.9066,0.812,0.9241,0.997,0.9181,0.9499,0.9542
Thyroid,WSF-01-016-01,2.624521,0.7557,0.9231,0.9705,0.9924,1.0056,0.9935,0.9666,0.9412,0.9525
Thyroid,WSF-01-016-01,0.550675,0.3629,0.6538,0.8727,1.0227,1.0392,1.0376,1.0206,0.9951,1.0488
Thyroid,WSF-01-016-01,0.50739,0.1162,0.4273,0.7905,0.9678,0.9114,1.0289,1.0369,1.0311,1.0378
Thyroid,WSF-01-016-01,1.03498,0.5472,0.7641,0.9331,1.0258,1.0029,0.9999,1.0189,1.0126,0.9913
Thyroid,WSF-01-016-01,1.450424,0.4085,0.7422,0.8359,0.8864,0.9193,0.9886,1.0039,0.9838,0.998
Thyroid,WSF-01-016-01,-0.671191,0.14,0.1727,0.4496,0.9323,1.019,1.007,0.9006,1.0795,0.7383
Thyroid,WSF-01-016-01,0.338612,0.318,0.5725,0.9147,0.8875,1.1053,1.0662,0.9461,0.8805,1.1115
Thyroid,WSF-01-016-01,0.818576,0.4663,0.7339,0.8714,1.0113,1.0565,1.0156,1.1079,1.0431,1.0641
Thyroid,WSF-01-016-01,0.63407,0.3929,0.6691,0.8301,1.0034,1.0511,1.0023,1.0322,0.9986,1.1906
Thyroid,WSF-01-016-01,0.325969,0.3753,0.7167,0.6645,0.8694,0.8641,0.9594,1.0256,1.0223,0.9377
Thyroid,WSF-01-016-01,0.843338,0.4783,0.7108,0.9275,0.9898,1.0257,1.0768,1.023,1.0449,1.0498
Thyroid,WSF-01-016-01,0.293935,0.4523,0.4844,0.5092,0.8109,0.9447,1.0133,1.039,0.9981,1.0796
Thyroid,WSF-01-016-01,2.909431,0.8326,0.9425,0.9633,0.9972,1.0151,1.0497,0.9447,0.9927,1.0308
Thyroid,WSF-01-016-01,0.700462,0.0455,0.6262,0.8049,0.9006,0.9493,0.9716,1.019,1.0181,1.0194
Thyroid,WSF-01-016-01,2.898514,0.7744,0.9037,0.8625,0.9289,0.8879,0.961,0.9974,1.0414,1.0514
UrinaryTrack,WSF-01-016-01,3.194774,0.8295,0.9773,1.0011,1.0127,1.0166,1.0323,1.0444,1.0348,1.0378
Thyroid,WSF-01-016-01,0.507603,0.1473,0.5761,0.8238,0.9121,1.1267,0.9704,0.9391,1.0483,0.9636
Uterus,WSF-01-016-01,1.035759,0.1661,0.6506,0.9063,0.9076,0.9791,1.0079,0.9136,1.0762,1.0324
Uterus,WSF-01-016-01,5.244952,1.0552,1.024,0.836,0.8737,0.8693,1.0193,0.9604,0.9541,0.8516
Uterus,WSF-01-016-01,3.474699,0.8444,0.8806,0.9837,0.9485,0.9559,0.9666,1.119,1.0099,1.1054
Uterus,WSF-01-016-01,2.786924,0.7935,0.8566,0.9524,0.9643,0.9462,0.9877,0.9657,1.1111,0.9663
Uterus,WSF-01-016-01,0.455232,0.3589,0.5775,0.8867,0.9436,0.9295,0.9133,0.9568,1.0697,1.0075
Uterus,WSF-01-016-01,4.815772,0.911,1.0341,1.1829,1.1288,1.0068,1.0653,1.083,1.0037,1.1198
Uterus,WSF-01-016-01,5.439385,0.9783,1.1382,1.1628,1.1045,0.9922,1.1403,1.1238,1.1317,1.1249
Uterus,WSF-01-016-01,0.667559,0.4329,0.6291,0.83,0.8939,0.917,0.8727,0.9642,0.923,1.0377
Lymphoma,WSF-01-016-01,2.195495,0.3225,0.843,0.9352,1.037,1.0426,1.0693,1.0478,1.0536,1.068
Uterus,WSF-01-016-01,3.60961,0.9461,0.8047,0.7814,1.0243,1.0657,1.0632,1.0873,1.0501,1.1017
Uterus,WSF-01-016-01,2.116579,0.3215,0.8133,0.9791,0.9881,0.984,0.9871,0.9844,1.0001,0.9917
Uterus,WSF-01-016-01,4.099819,0.8736,1.017,0.9711,1.0212,1.0203,1.0407,1.0269,1.0159,1.0183
Uterus,WSF-01-016-01,0.460818,0.4635,0.5557,0.6625,0.6838,0.886,1.02,1.0137,1.049,1.0238
Uterus,WSF-01-016-01,-0.238424,0.1223,0.3006,0.7532,0.8347,0.995,0.9851,1.0017,1.1093,1.2091
Uterus,WSF-01-016-01,1.822436,0.7132,0.7394,0.8667,0.9946,1.0102,1.0573,1.0665,1.0666,1.0782
Kidney,WSF-01-016-01,2.066267,0.7297,0.8672,0.986,0.9819,1.0736,1.0027,0.935,1.0819,1.1229
Lymphoma,WSF-01-016-01,2.766211,0.422,0.8457,0.9213,0.9942,0.9183,0.9512,0.9542,0.9603,0.9864
Skin,WSF-01-016-01,0.166997,0.1259,0.4968,0.7006,0.879,0.9388,0.9772,0.9994,0.9712,0.9782
Brain,WSF-01-016-01,3.0049,0.8031,0.9194,0.9111,0.926,0.9823,0.9624,0.9647,1.0481,1.0392
Ovary,WSF-01-016-01,1.271818,0.5377,0.7864,0.7847,0.873,0.884,1.0007,1.0864,0.8736,0.9316
Ovary,WSF-01-016-01,3.207434,0.8352,0.8514,0.9994,1.0199,0.8895,0.8976,0.9121,1.0564,1.0271
Ovary,WSF-01-016-01,0.975017,0.5469,0.6943,0.8177,0.8992,0.9721,0.9844,1.0617,1.0848,0.9639
Ovary,WSF-01-016-01,3.1306,0.2053,0.8882,0.8621,1.076,1.0037,1.0136,1.0338,1.054,1.1014
Ovary,WSF-01-016-01,0.277206,0.3154,0.5533,0.7399,1.0743,0.8739,0.9881,1.0212,1.0797,1.2887
Lymphoma,WSF-01-016-01,1.064916,0.1093,0.7082,0.9137,0.976,0.9982,1.04,1.0402,1.0421,1.0513
Ovary,WSF-01-016-01,4.167095,0.9005,0.9354,0.9428,1.0494,1.0723,1.0062,1.0906,1.0412,1.0885
Pancreas,WSF-01-016-01,3.675638,0.874,0.9589,1.0513,1.0233,0.9189,0.9647,0.9684,0.9903,1.0056
Pancreas,WSF-01-016-01,3.799497,0.8973,0.9258,0.9243,0.955,0.9965,1.0342,1.1071,1.0702,1.0277
Pancreas,WSF-01-016-01,4.288041,0.8772,0.8693,0.8785,0.9334,0.9624,0.9827,0.9913,0.9858,0.9814
Lung:NSCLC,WSF-01-016-01,5.729742,1.0713,1.0514,1.0022,1.1593,1.0103,1.002,1.0108,0.9933,1.0529
Bone,WSF-01-016-01,2.554985,0.7888,0.904,0.9853,1.071,1.041,1.0786,1.0867,0.9661,1.0913
Leukemia,WSF-01-016-01,1.603627,0.6597,0.7086,0.7282,0.8029,0.9078,1.0097,1.0164,0.9999,1.0055
Skin,WSF-01-016-01,0.395274,0.2086,0.5866,0.8218,1.048,1.0115,1.0237,0.993,0.9941,1.0266
Skin,WSF-01-016-01,1.497865,0.6415,0.8015,1.1433,0.9666,1.0296,1.007,1.1388,0.9742,1.0006
Skin,WSF-01-016-01,2.67945,0.4014,0.8413,0.8696,0.9188,0.9415,0.9741,0.9643,0.9505,0.9495
Skin,WSF-01-016-01,0.61365,0.3207,0.6612,0.8275,0.9595,0.9939,1.0047,1.0655,1.0254,1.0162
Lung:NSCLC,WSF-01-016-01,4.282249,0.8968,0.9578,1.0669,0.9621,0.9559,0.9562,1.0538,1.0498,1.1056
Lung:NSCLC,WSF-01-016-01,3.502224,0.8278,0.8757,0.9947,1.021,1.0065,0.9824,0.8925,1.0474,0.8925
Skin,WSF-01-016-01,-0.071953,0.1021,0.408,0.6442,0.8965,1.0037,0.9894,2.1692,1.0018,0.9584
Skin,WSF-01-016-01,0.141397,0.1509,0.482,0.7255,0.8939,0.9876,1.077,1.0289,1.1281,1.124
Skin,WSF-01-016-01,2.948568,0.1143,0.749,0.9697,1.0744,1.0546,0.9638,1.0143,0.9791,1.0701
Skin,WSF-01-016-01,2.402522,0.7483,0.9731,0.9754,1.0779,1.0487,1.0954,1.0633,1.0113,1.0698
Pleura,WSF-01-016-01,3.269479,0.8457,0.98,1.027,1.0245,1.029,1.0483,1.0564,1.09,1.0257
Pleura,WSF-01-016-01,2.883823,0.6443,0.9482,1.0847,0.9204,1.1123,0.9677,0.9901,1.0232,0.9958
UrinaryTrack,WSF-01-016-01,1.866613,0.7103,0.9006,0.9913,1.002,1.0626,1.0654,1.0582,1.0548,1.0674
Pleura,WSF-01-016-01,2.448905,0.7199,0.8808,1.0141,0.8993,0.8965,0.9667,1.0104,1.0016,0.9583
Pleura,WSF-01-016-01,3.396696,0.8248,0.9489,1.125,1.1515,0.9769,1.1423,1.1062,1.097,1.0232
Pleura,WSF-01-016-01,1.566848,0.6351,0.6899,0.796,0.9732,0.8737,0.9335,0.9392,0.9489,0.9741
Pleura,WSF-01-016-01,3.0118,0.8098,0.9217,1.0526,0.964,1.0374,0.952,1.1017,1.0199,1.0798
Pleura,WSF-01-016-01,1.314942,0.6041,0.8081,0.9612,0.9889,0.9834,1.0193,0.9676,1.117,1.0206
Pleura,WSF-01-016-01,3.774258,0.8664,0.9278,0.9775,1.0907,1.0802,1.0604,1.0472,1.1835,1.0993
Pleura,WSF-01-016-01,2.334417,0.7932,0.8438,0.9097,0.9915,0.9916,1.0512,1.0791,1.1021,1.1439
Pleura,WSF-01-016-01,3.323167,0.2139,0.4817,0.9682,1.1505,0.9613,0.9667,0.9724,1.1086,1.0296
Pleura,WSF-01-016-01,3.230867,0.8494,0.9106,0.8574,1.112,0.9412,1.1049,1.141,1.0837,1.1379
Pleura,WSF-01-016-01,1.310202,0.5482,0.8116,0.8089,0.9097,1.0013,0.9234,1.0343,0.9483,0.9241
Pleura,WSF-01-016-01,4.080371,0.8435,1.0468,0.9184,0.9891,0.9455,0.978,0.9434,1.0639,0.9902
Pleura,WSF-01-016-01,1.554609,0.6077,0.7923,0.8518,0.9227,0.8883,1.009,0.9565,0.8829,0.9893
Pleura,WSF-01-016-01,2.001596,0.7273,0.7909,0.8497,0.9903,1.0139,0.9695,1.0488,1.1126,1.0722
Pleura,WSF-01-016-01,0.438496,0.4268,0.598,0.7262,0.802,0.9156,0.92,1.0133,0.9906,1.1066
Pleura,WSF-01-016-01,4.584261,0.9032,0.9881,1.0291,1.0055,0.9593,0.9609,0.9998,0.9885,0.946
Pleura,WSF-01-016-01,2.342812,0.7288,0.8999,0.9497,0.9736,0.9889,0.9635,0.9772,1.0471,1.0367
Pleura,WSF-01-016-01,2.945136,0.7634,0.8911,0.9799,0.9214,0.8863,0.905,0.8936,1.0164,0.95
Lung,WSF-01-016-01,5.892209,1.08,1.0893,1.0393,1.1233,0.986,0.9484,0.995,0.9666,1.1365
Head & Neck,WSF-01-016-01,1.304515,0.5986,0.7786,0.9212,0.9861,1.0182,1.0515,1.0304,1.0587,1.0559
Pleura,WSF-01-016-01,2.234671,0.6891,0.9384,1.0262,1.0144,0.9698,0.9996,1.1385,1.1659,0.9715
Ovary,WSF-01-016-01,-0.373055,0.0953,0.2907,0.5933,0.7771,0.8649,1.0326,0.8333,0.9721,0.9864
Ovary,WSF-01-016-01,2.757329,0.778,0.8852,0.8968,0.9982,0.9256,0.916,0.942,1.0645,1.0741
Head & Neck,WSF-01-016-01,0.390474,0.362,0.6016,0.778,0.8655,0.9328,0.9842,0.9798,0.9236,0.9911
Head & Neck,WSF-01-016-01,0.445926,0.3191,0.6536,0.701,1.0214,1.0095,0.9763,1.0336,0.9844,1.0284
Head & Neck,WSF-01-016-01,1.32154,0.5955,0.6932,0.8475,0.9431,0.9506,1.0363,0.9476,0.8989,0.9376
Muscle,WSF-01-016-01,2.66865,0.7756,0.8319,0.8805,0.9419,0.922,0.96,0.9663,0.9833,1.1079
Lymphoma,WSF-01-016-01,2.275356,0.7374,0.8635,0.8954,0.9327,0.9487,0.9901,1.0047,0.992,0.9857
Ovary,WSF-01-016-01,4.247494,0.9474,0.866,0.9092,0.9152,1.0426,1.0283,0.9256,0.8799,0.9477
Lymphoma,WSF-01-016-01,2.210949,0.0975,0.4195,0.9102,0.9928,0.9975,1.0278,1.0191,1.0425,1.0082
Bone,WSF-01-016-01,-0.03586,0.4481,0.5152,0.5964,0.7553,0.7905,0.8503,0.8668,0.9235,0.9619
Lung:NSCLC,WSF-01-016-01,0.857586,0.5036,0.6409,0.7887,0.8965,0.9261,0.905,0.9573,1.0769,1.0247
Lung:NSCLC,WSF-01-016-01,2.951836,0.4445,0.8184,1.1515,1.0293,0.958,0.9592,1.0898,1.0427,1.1849
Lung:NSCLC,WSF-01-016-01,1.316986,0.5005,0.8302,0.8735,1.0842,1.0457,1.0768,1.0978,1.0418,1.1015
Lung:NSCLC,WSF-01-016-01,0.32577,0.5109,0.5271,0.6482,0.7673,0.8279,0.7687,1.0619,1.0518,0.8986
Lung:NSCLC,WSF-01-016-01,2.099808,0.6668,0.8665,1.0218,0.9905,0.9933,1.1256,1.0519,1.0288,1.1578
Lung:NSCLC,WSF-01-016-01,-0.465074,0.2675,0.3514,0.5149,0.8218,0.8849,0.8334,0.8921,1.0294,1.0065
Lymphoma,WSF-01-016-01,2.726779,0.8006,0.8312,0.8863,0.9493,0.9695,1.0208,0.9915,0.9857,0.98
Lung:NSCLC,WSF-01-016-01,1.745467,0.621,0.9432,0.7364,1.0325,1.1123,0.9626,0.9247,1.0272,0.9848
Pancreas,WSF-01-016-01,1.59443,0.654,0.8086,0.9377,0.953,1.0221,1.0472,1.0572,1.0036,1.0192
Leukemia,WSF-01-016-01,-0.067473,0.1206,0.2828,0.7667,0.9784,0.9281,1.0628,1.0194,1.0001,1.2538
Leukemia,WSF-01-016-01,1.228723,0.5583,0.7731,0.9071,0.924,0.9783,1.0338,1.0162,1.0039,1.1552
Lymphoma,WSF-01-016-01,2.163297,0.2741,0.697,1.2253,1.0401,1.0531,1.0202,1.1575,1.1911,1.1694
UrinaryTrack,WSF-01-016-01,1.989701,0.7273,0.8724,1.1001,0.9693,0.961,0.9849,1.015,1.032,0.971
Lymphoma,WSF-01-016-01,4.191111,0.9183,0.9561,0.9903,0.9871,0.987,0.9893,0.9891,0.9778,0.9684
Lymphoma,WSF-01-016-01,4.656422,0.39,0.9838,1.0862,0.9575,1.1054,0.9788,0.9852,1.0264,1.1495
Leukemia,WSF-01-016-01,3.481043,0.8843,0.8195,0.9028,0.9637,0.9805,0.9916,0.9807,1.0449,0.9937
Muscle,WSF-01-016-01,0.21659,0.2711,0.5244,0.7628,0.9834,0.9677,0.9961,0.9821,1.0734,0.9756
Muscle,WSF-01-016-01,0.030545,0.2336,0.4518,0.6951,0.9625,0.989,1.0055,1.0854,1.1775,1.1234
Leukemia,WSF-01-016-01,2.230171,0.2754,0.809,0.9483,1.0423,0.9856,1.0396,1.052,1.0193,1.0725
Lymphoma,WSF-01-016-01,1.120062,0.054,0.1517,0.7899,0.8815,0.9055,0.9854,0.9859,0.9857,0.968
UrinaryTrack,WSF-01-016-01,2.598532,0.78,0.9076,1.0364,1.0385,1.0096,0.9978,0.9494,0.9785,1.0208
Lymphoma,WSF-01-016-01,2.109257,0.3393,0.7606,0.9308,0.8972,0.8835,0.909,0.8882,1.0179,1.0241
Leukemia,WSF-01-016-01,0.716704,0.1122,0.1455,0.7679,0.8669,0.7717,0.9079,1.0875,1.0588,1.2103
Leukemia,WSF-01-016-01,-0.226159,0.3144,0.3823,0.6105,0.8137,0.7684,0.9452,0.9887,1.0245,1.1753
Lymphoma,WSF-01-016-01,2.145331,0.744,0.8601,0.9127,0.9695,0.9948,0.9997,1.0071,1.0016,0.9966
Lymphoma,WSF-01-016-01,2.432856,0.2744,0.4227,0.8904,1.008,1.0321,1.0411,1.0583,1.0487,1.0425
Leukemia,WSF-01-016-01,0.225483,0.1234,0.4748,0.7631,0.8866,1.0064,0.9631,1.0552,0.9158,1.0343
Pancreas,WSF-01-016-01,1.209295,0.255,0.7069,0.9142,0.9881,0.9953,0.9753,0.9646,0.9523,0.964
UrinaryTrack,WSF-01-016-01,1.691557,0.5961,0.833,0.7926,0.867,0.8791,0.9076,1.1127,0.9079,0.9696
Leukemia,WSF-01-016-01,1.412431,0.4298,0.8023,0.8859,0.9931,1.0348,1.0255,0.9975,1.0283,1.0171
Lymphoma,WSF-01-016-01,3.764763,0.8675,0.9119,0.8942,0.9431,0.9728,1.0024,0.9978,0.99,0.972
Leukemia,WSF-01-016-01,3.570364,0.8645,0.9331,0.9812,0.9637,1.0716,1.0463,1.1136,1.1168,1.1418
Leukemia,WSF-01-016-01,1.59314,0.6657,0.7742,0.905,0.9684,0.9968,1.0593,1.0142,1.016,1.0372
Leukemia,WSF-01-016-01,0.908802,0.4509,0.6938,0.7066,0.7971,0.8495,0.8785,0.8385,0.8813,0.8961
Leukemia,WSF-01-016-01,0.06471,0.3087,0.507,0.7502,0.9861,1.045,1.0979,1.0766,1.1031,1.1455
Leukemia,WSF-01-016-01,-0.230644,0.1663,0.4117,0.5835,0.8097,0.9164,0.9499,0.9841,0.9672,0.9893
Leukemia,WSF-01-016-01,1.118339,0.5065,0.8063,0.8271,1.0025,1.0257,1.0561,1.1012,1.0983,1.0546
UrinaryTrack,WSF-01-016-01,4.746173,0.9356,0.9845,1.0376,1.0472,1.0105,1.0173,1.1586,1.0118,1.1885
Lymphoma,WSF-01-016-01,2.764345,0.8254,0.8654,0.9342,1.0008,0.9798,0.9916,1.0549,1.0652,0.9919
Leukemia,WSF-01-016-01,-0.019013,0.178,0.4217,0.75,0.9805,0.9989,1.0929,1.0542,1.1,1.0368
Lymphoma,WSF-01-016-01,2.281442,0.744,0.9005,0.9158,0.9978,0.9787,1.0254,1.016,1.0032,1.0333
Lymphoma,WSF-01-016-01,0.88871,0.5614,0.6755,0.8753,1.0188,1.0429,1.0518,1.0709,1.0889,1.0622
Lymphoma,WSF-01-016-01,1.810744,0.7022,0.8873,0.9589,1.0577,1.0625,1.1513,1.0333,0.9741,1.1187
Leukemia,WSF-01-016-01,1.243963,0.6071,0.8275,0.9613,0.9622,0.9808,0.9939,1.0211,1.0811,1.0319
Leukemia,WSF-01-016-01,0.573443,0.3366,0.6603,0.8474,0.9658,0.9947,1.0198,1.0491,1.268,1.098
Leukemia,WSF-01-016-01,3.599956,0.8152,1.0238,1.0423,1.068,1.0502,1.0325,1.0274,1.0055,1.0326
Leukemia,WSF-01-016-01,2.122761,0.7332,0.7617,0.9336,0.8885,1.0262,0.9478,1.0452,1.0605,1.0492
UrinaryTrack,WSF-01-016-01,2.230661,0.7379,0.7288,0.83,0.8648,0.9546,0.9615,0.9959,1.0115,1.0045
Leukemia,WSF-01-016-01,0.957066,0.0758,0.1375,0.7716,0.902,0.9511,1.0086,1.0185,0.9848,1.2065
Lymphoma,WSF-01-016-01,4.133298,0.9166,0.945,0.8265,1.0622,0.8916,1.0412,1.0993,0.9758,0.9501
Lymphoma,WSF-01-016-01,1.969756,0.7453,0.7441,0.8405,0.96,0.9736,1.0105,1.0169,1.01,1.0009
Leukemia,WSF-01-016-01,-0.442532,0.1485,0.2175,0.5538,0.8276,0.8273,1.0236,1.0546,1.0642,1.0738
Leukemia,WSF-01-016-01,-0.707427,0.0978,0.1145,0.4474,0.68,0.9232,0.9115,0.9173,0.9423,1.0079
Leukemia,WSF-01-016-01,1.242582,0.4721,0.8139,0.8984,1.0186,1.0369,1.1461,0.9456,1.0088,1.1091
Leukemia,WSF-01-016-01,0.970138,0.206,0.5643,0.9291,1.0143,0.9967,1.0614,1.0906,1.0576,1.0784
Lymphoma,WSF-01-016-01,2.384724,0.8106,0.8641,0.9621,1.01,1.0173,1.0537,1.0474,1.031,1.031
Leukemia,WSF-01-016-01,1.851366,0.3921,0.7809,0.8498,0.8911,0.866,1.0007,0.9175,1.0262,1.0727
